Date	Open	High	Low	Close	Volume	Adj Close
03/08/2006	78.30	78.70	77.55	77.65	5049500	75.10
02/08/2006	76.75	78.45	76.20	78.20	7534900	75.63
01/08/2006	76.20	76.45	74.50	75.05	3671600	72.58
31/07/2006	77.15	77.40	76.15	76.20	2979300	73.69
28/07/2006	76.10	77.40	75.90	77.40	3412500	74.85
27/07/2006	75.50	76.50	75.20	76.50	3137300	73.98
26/07/2006	74.70	75.15	74.15	74.75	2196100	72.29
25/07/2006	74.45	75.10	73.85	74.70	2840600	72.24
24/07/2006	72.70	74.75	72.65	74.40	2627500	71.95
21/07/2006	72.65	73.30	72.15	72.60	2936500	70.21
20/07/2006	73.45	74.30	72.95	73.00	3841900	70.60
19/07/2006	70.90	72.75	70.80	72.75	5420900	70.36
18/07/2006	71.10	72.25	70.20	70.80	5058200	68.47
17/07/2006	72.10	72.20	70.60	71.35	4553000	69.00
14/07/2006	73.40	73.40	72.00	72.00	4214500	69.63
13/07/2006	75.10	75.10	73.15	73.85	7786300	71.42
12/07/2006	76.00	76.50	75.20	75.65	3679000	73.16
11/07/2006	76.30	76.75	75.15	75.50	4381300	73.02
10/07/2006	76.00	77.00	75.95	76.75	2689900	74.23
07/07/2006	76.00	77.25	75.70	76.30	3362000	73.79
06/07/2006	75.45	76.50	75.20	76.20	3867000	73.69
05/07/2006	75.30	75.70	74.60	75.15	4557300	72.68
04/07/2006	75.50	75.80	75.00	75.70	1567000	73.21
03/07/2006	74.65	75.60	74.65	75.10	9727100	72.63
30/06/2006	74.90	75.60	73.95	74.85	4730300	72.39
29/06/2006	72.45	73.70	72.05	73.55	3019000	71.13
28/06/2006	71.30	72.50	70.85	71.75	2446200	69.39
27/06/2006	72.80	72.95	71.15	71.60	3233200	69.24
26/06/2006	73.00	73.30	72.60	72.65	7311400	70.26
23/06/2006	72.20	73.00	71.95	72.60	2686700	70.21
22/06/2006	72.80	73.00	72.15	72.60	3002800	70.21
21/06/2006	72.00	72.40	71.00	71.90	4225000	69.54
20/06/2006	70.65	72.00	70.50	71.90	3922700	69.54
19/06/2006	71.00	71.90	70.80	71.20	5291900	68.86
16/06/2006	71.25	71.70	69.95	70.40	8278500	68.08
15/06/2006	68.15	70.15	68.15	69.90	4848900	67.60
14/06/2006	67.75	68.10	66.80	67.70	7199300	65.47
13/06/2006	68.30	68.60	66.65	67.30	6719500	65.09
12/06/2006	70.45	71.00	69.45	69.65	3539500	67.36
09/06/2006	71.15	71.20	70.15	70.65	4436500	68.33
08/06/2006	70.00	70.85	69.15	69.70	7046200	67.41
07/06/2006	71.50	72.55	71.15	72.00	4563300	69.63
06/06/2006	71.75	72.10	71.00	71.25	4873900	68.91
05/06/2006	73.20	73.50	72.30	72.80	2037600	70.41
02/06/2006	73.60	74.30	73.05	73.30	4990000	70.89
01/06/2006	72.60	73.15	71.60	72.95	3738400	70.55
31/05/2006	71.00	73.30	70.50	72.80	6144600	70.41
30/05/2006	75.60	75.80	73.20	74.25	10080200	69.29
29/05/2006	75.65	75.80	75.20	75.40	1255000	70.37
26/05/2006	75.50	75.90	74.15	75.90	8307700	70.83
25/05/2006	73.20	75.00	72.85	75.00	3584400	69.99
24/05/2006	73.70	74.30	72.10	73.50	6489900	68.59
23/05/2006	73.30	74.80	72.20	74.35	6232200	69.39
22/05/2006	74.25	75.35	72.65	73.00	6524600	68.13
19/05/2006	73.60	75.95	73.25	74.70	9354000	69.71
18/05/2006	72.25	73.90	70.60	71.85	7569900	67.05
17/05/2006	75.90	75.90	72.05	72.05	5745700	67.24
16/05/2006	74.60	75.85	74.15	75.30	5422400	70.27
15/05/2006	75.95	75.95	74.15	74.55	5615100	69.57
12/05/2006	77.15	77.55	76.00	76.25	4054800	71.16
11/05/2006	77.50	79.25	77.50	78.00	5801800	72.79
10/05/2006	77.50	78.40	77.35	77.45	4329900	72.28
09/05/2006	77.35	77.85	76.40	77.70	3895700	72.51
08/05/2006	77.70	78.10	77.10	77.20	3038400	72.05
05/05/2006	75.75	77.00	75.60	76.95	3164100	71.81
04/05/2006	75.00	75.65	74.35	75.50	3538000	70.46
03/05/2006	76.00	76.15	74.65	74.75	3197900	69.76
02/05/2006	74.65	75.70	74.45	75.40	2998700	70.37
01/05/2006	74.90	74.90	74.90	74.90	0	69.90
28/04/2006	75.60	76.10	74.80	74.90	4017100	69.90
27/04/2006	75.95	76.15	74.60	75.75	5832700	70.69
26/04/2006	74.10	75.30	74.10	75.00	2549700	69.99
25/04/2006	74.55	74.80	74.10	74.25	3124100	69.29
24/04/2006	74.70	74.75	74.05	74.25	3247000	69.29
