Date,Open,High,Low,Close,Volume,Adj Close
2007-10-05,81.56,82.69,80.62,82.41,5220600,68.22
2007-10-04,80.00,82.73,80.00,81.15,7037500,67.18
2007-10-03,79.95,80.94,79.72,80.54,4682900,66.68
2007-10-02,78.80,80.88,78.70,79.92,8815900,66.16
2007-10-01,75.56,78.60,75.30,77.97,6188300,64.55
2007-09-28,76.29,77.20,75.91,76.74,6049400,63.53
2007-09-27,75.12,77.05,74.86,76.31,7883700,63.17
2007-09-26,74.30,74.70,73.61,74.26,5054800,61.48
2007-09-25,74.21,74.58,72.95,74.30,7136700,61.51
2007-09-24,76.70,76.75,74.12,75.32,6357700,62.35
2007-09-21,76.35,78.00,76.30,77.07,6866800,63.80
2007-09-20,76.87,77.52,75.88,77.14,6808000,63.86
2007-09-19,76.80,79.00,76.80,78.00,12776400,64.57
2007-09-18,70.98,74.45,70.53,74.19,8278800,61.42
2007-09-17,72.98,72.98,71.02,71.95,6737200,59.56
2007-09-14,74.10,74.10,72.27,73.72,5861100,61.03
2007-09-13,73.47,75.05,73.01,74.84,5731800,61.96
2007-09-12,73.22,74.40,72.91,74.18,4480900,61.41
2007-09-11,72.95,74.00,71.96,73.52,4812600,60.86
2007-09-10,72.90,73.54,72.10,72.36,4811500,59.90
2007-09-07,75.50,75.50,71.85,73.12,9831000,60.53
2007-09-06,76.95,77.07,74.29,75.70,7153200,62.67
2007-09-05,78.26,78.26,75.78,76.24,5526700,63.12
2007-09-04,76.77,78.52,75.83,78.30,6045200,64.82
2007-09-03,77.42,78.18,77.05,77.37,2605200,64.05
2007-08-31,77.11,78.00,76.50,77.42,4916100,64.09
2007-08-30,77.56,77.74,75.62,76.42,4434900,63.27
2007-08-29,75.39,76.04,74.47,76.04,5727200,62.95
2007-08-28,78.27,78.40,75.33,75.86,5510500,62.80
2007-08-27,78.43,79.38,78.20,78.50,2364300,64.99
2007-08-24,78.00,78.39,76.65,77.71,3854800,64.33
2007-08-23,79.87,79.90,78.33,78.40,3963600,64.90
2007-08-22,78.55,79.60,78.32,78.66,4527800,65.12
2007-08-21,78.12,79.00,76.81,78.32,4593200,64.84
2007-08-20,79.99,80.90,77.96,78.30,6009600,64.82
2007-08-17,74.81,82.13,74.30,78.20,16266900,64.74
2007-08-16,75.50,75.91,73.84,74.67,9734700,61.82
2007-08-15,77.00,77.05,74.89,77.05,9389000,63.79
2007-08-14,80.00,80.34,77.47,78.18,7025900,64.72
2007-08-13,79.75,81.70,79.50,81.00,6086800,67.06
2007-08-10,80.00,80.59,77.50,78.97,9390200,65.38
2007-08-09,83.65,84.00,80.00,82.57,12730500,68.36
2007-08-08,84.04,85.85,83.30,85.45,7566600,70.74
2007-08-07,82.34,83.44,81.75,82.97,7266800,68.69
2007-08-06,79.01,80.24,78.85,79.95,4100000,66.19
2007-08-03,82.41,82.41,79.83,80.46,4556100,66.61
2007-08-02,81.70,82.81,81.34,81.80,5509900,67.72
2007-08-01,79.61,81.34,78.60,80.65,7338000,66.77
2007-07-31,81.00,82.56,80.58,81.73,7668500,67.66
2007-07-30,79.70,80.21,78.75,79.27,6706400,65.62
2007-07-27,78.42,80.41,78.13,79.65,7562500,65.94
2007-07-26,82.10,82.20,79.08,79.12,6788300,65.50
2007-07-25,82.83,83.03,81.19,81.76,5261000,67.69
2007-07-24,84.14,85.25,82.81,83.29,5070400,68.95
2007-07-23,84.11,85.09,83.34,85.03,3746200,70.39
2007-07-20,86.32,86.52,84.00,84.24,5096400,69.74
2007-07-19,86.92,86.92,85.96,86.84,3237100,71.89
2007-07-18,86.93,87.59,86.11,86.11,4047600,71.29
2007-07-17,88.15,88.59,87.19,88.08,3679100,72.92
2007-07-16,87.40,88.90,87.14,88.67,2990900,73.41
2007-07-13,87.88,88.00,87.10,87.37,2972400,72.33
2007-07-12,85.95,86.79,85.14,86.75,3619800,71.82
2007-07-11,85.99,86.10,84.37,85.80,5306100,71.03
2007-07-10,88.35,88.50,85.90,86.59,4344000,71.68
2007-07-09,89.00,89.27,87.89,88.08,2993800,72.92
2007-07-06,87.82,88.71,87.74,88.32,1880700,73.12
2007-07-05,88.33,88.60,87.30,87.77,2686700,72.66
2007-07-04,88.85,88.89,88.03,88.21,1963700,73.03
2007-07-03,88.37,89.05,88.31,88.45,4140500,73.22
2007-07-02,87.60,87.88,87.00,87.35,2905600,72.31
2007-06-29,87.90,88.58,86.28,88.36,4715500,73.15
2007-06-28,87.77,87.77,86.23,87.00,4589300,72.02
2007-06-27,87.25,87.27,85.70,86.85,5129200,71.90
2007-06-26,87.92,88.41,87.15,87.66,3704100,72.57
2007-06-25,87.92,88.89,87.16,88.80,3984000,73.51
2007-06-22,90.33,90.33,88.18,88.55,4274600,73.31
2007-06-21,90.44,90.70,88.89,89.58,4582900,74.16
2007-06-20,91.44,91.56,90.76,91.10,3207300,75.42
2007-06-19,91.65,92.04,90.74,90.96,3256000,75.30
2007-06-18,91.88,92.31,90.74,91.32,3429100,75.60
2007-06-15,90.77,91.94,90.40,91.51,7078400,75.76
2007-06-14,89.87,90.52,89.04,90.52,4814100,74.94
2007-06-13,87.69,89.36,87.19,88.36,4739000,73.15
2007-06-12,88.71,89.44,87.30,88.06,5170400,72.90
2007-06-11,89.30,89.30,88.26,88.89,4546800,73.59
2007-06-08,88.16,89.00,86.25,87.16,10257600,72.16
2007-06-07,87.50,88.00,85.11,85.86,7296500,70.29
2007-06-06,88.98,89.00,86.46,86.97,7256000,71.20
2007-06-05,90.90,90.90,88.72,89.10,5380100,72.95
2007-06-04,91.00,91.10,90.01,90.42,3725700,74.03
2007-06-01,90.65,91.48,90.13,91.48,4571000,74.89
2007-05-31,91.25,91.25,90.00,90.18,4506700,73.83
2007-05-30,90.06,90.62,89.45,90.58,3538500,74.16
2007-05-29,91.19,91.19,90.27,90.95,2803300,74.46
2007-05-28,90.97,91.10,90.01,91.10,766000,74.58
2007-05-25,89.20,90.87,89.16,90.87,5009500,74.40
2007-05-24,91.04,91.45,89.32,89.46,6059200,73.24
2007-05-23,93.21,94.25,93.20,94.25,4910600,74.62
2007-05-22,94.16,94.37,93.10,93.48,3499400,74.01
2007-05-21,94.31,94.47,93.37,93.55,3291400,74.07
2007-05-18,92.80,94.42,92.50,94.17,4393200,74.56
2007-05-17,93.56,93.95,92.28,92.59,2810900,73.31
2007-05-16,93.78,93.99,92.81,93.11,4520900,73.72
2007-05-15,92.77,94.22,92.21,93.97,4649600,74.40
2007-05-14,94.50,95.07,92.38,92.87,6910400,73.53
2007-05-11,91.25,94.92,90.32,93.75,10728800,74.23
2007-05-10,91.23,93.05,91.20,92.38,8855000,73.14
2007-05-09,88.85,91.45,88.85,91.15,13184500,72.17
2007-05-08,86.90,87.79,86.35,87.50,5613500,69.28
2007-05-07,87.89,87.95,87.37,87.41,2927000,69.21
2007-05-04,86.64,87.69,86.45,87.54,4541700,69.31
2007-05-03,86.90,86.93,85.90,86.50,5130700,68.49
2007-05-02,85.90,86.84,85.68,86.40,4297900,68.41
2007-05-01,85.65,85.65,85.65,85.65,000,67.82
2007-04-30,84.81,86.09,84.81,85.65,2813900,67.82
