index	nb_urls	delimit_hash	geo	text	nb_symbols	annee	delimit_mention	nb_extended_entities	text_mention	id_str	nb_user_photos	nb_user_mentions	type_extended_entities	created_at	lang	retweet_count	nb_hashtags	favorite_count	text_hashtags
778259031534231552	1	, 46, 57		Qui d'autre s'en bat les steaks de la rupture #brangelina ? (Il est tout cheum Brad 😷) https://t.co/JzOPRrsfhJ	0	2016		0		778259031534231552	0	0	[]	Tue Sep 20 15:46:27 +0000 2016	fr	0	1	9	, brangelina
778259035980259332	0	, 20, 31, 32, 48		Aniston &gt; Jolie  #Brangelina #JenniferAniston	0	2016		0		778259035980259332	0	0	[]	Tue Sep 20 15:46:28 +0000 2016	fr	1	2	3	, Brangelina, JenniferAniston
778259118033367040	0	, 48, 59		CELINE DION NOUS A MENTI, L'AMOUR N'EXISTE PLUS #Brangelina	0	2016		0		778259118033367040	0	0	[]	Tue Sep 20 15:46:47 +0000 2016	fr	23	1	18	, Brangelina
778259153655566336	0	, 17, 28		Le choc est réel #brangelina	0	2016		0		778259153655566336	0	0	[]	Tue Sep 20 15:46:56 +0000 2016	fr	2	1	8	, brangelina
778259166947270657	0	, 72, 83		Je ne l'accepte pas. C'était pour moi le goal ultime. Non. Non. Et non. #Brangelina https://t.co/El0etM2o0y	0	2016		3		778259166947270657	1	0	['photo', 'photo', 'photo']	Tue Sep 20 15:46:59 +0000 2016	fr	82	1	66	, Brangelina
778259274623516673	0	, 51, 62		@closerfr tu pars bosser, tu reviens t'apprend que #Brangelina c'est finit et que Marion Cotillard serait enceinte de Brad, sympa !	0	2016	, 0, 9	0	, closerfr	778259274623516673	0	1	[]	Tue Sep 20 15:47:25 +0000 2016	fr	0	1	2	, Brangelina
778259333792620544	0	, 68, 79		Quand tu apprends cette atroce et bouleversante nouvelle: le couple #brangelina qui se sépare; tout s'effondre autour de toi.	0	2016		0		778259333792620544	0	0	[]	Tue Sep 20 15:47:39 +0000 2016	fr	0	1	4	, brangelina
778259354726334464	0	, 4, 15		"Que #brangelina est fini? 
😹😹"	0	2016		0		778259354726334464	0	0	[]	Tue Sep 20 15:47:44 +0000 2016	fr	0	1	2	, brangelina
778259428801937409	0	, 128, 139		L'amour existe quand tu ne voles pas le mari des gens. Après ça, ce sera Alicia et Swizz Beatz … Avec sa NoMakeUp connerie là ! #brangelina	0	2016		0		778259428801937409	0	0	[]	Tue Sep 20 15:48:01 +0000 2016	fr	2	1	0	, brangelina
778259475157385217	0	, 20, 30, 52, 61, 62, 73		Dans les bureaux de #grevinmtl, on préfère le déni. #montreal #Brangelina https://t.co/W4tRd409fI	0	2016		1		778259475157385217	1	0	['photo']	Tue Sep 20 15:48:12 +0000 2016	fr	1	3	6	, grevinmtl, montreal, Brangelina
778259477015437313	1	, 26, 37		c'est la fin des haricots #Brangelina https://t.co/Hp7VFWFOVT	0	2016		0		778259477015437313	0	0	[]	Tue Sep 20 15:48:13 +0000 2016	fr	1	1	3	, Brangelina
778259565792092160	1	, 36, 47		Ça va être marrant avec les enfants #brangelina https://t.co/p4u2rnWvLL	0	2016		0		778259565792092160	0	0	[]	Tue Sep 20 15:48:34 +0000 2016	fr	0	1	0	, brangelina
778259571253121027	0	, 18, 29		Je suis brusquée. #Brangelina	0	2016		0		778259571253121027	0	0	[]	Tue Sep 20 15:48:35 +0000 2016	fr	0	1	0	, Brangelina
778259573580898304	0	, 54, 65		C'est le plus beau jour de la vie de Jennifer Aniston #Brangelina	0	2016		0		778259573580898304	0	0	[]	Tue Sep 20 15:48:36 +0000 2016	fr	0	1	1	, Brangelina
778259728912842752	0	, 63, 74, 80, 91		Sérieusement , une alerte média pour me signaler le divorce de #brangelina ?!?  #OnTueLaUne	0	2016		0		778259728912842752	0	0	[]	Tue Sep 20 15:49:13 +0000 2016	fr	4	2	31	, brangelina, OnTueLaUne
778259756100284416	0	, 83, 94, 95, 101, 102, 113		WHAT?? Tu fais le ménage tu t'arrêtes et là quoi tu apprends que Brangelina c fini #Brangelina #Drame #FinDuMonde mdr	0	2016		0		778259756100284416	0	0	[]	Tue Sep 20 15:49:19 +0000 2016	fr	0	3	0	, Brangelina, Drame, FinDuMonde
778259758792966144	0	, 41, 52		Pourquoi on fait genre qu'on est choqué? #Brangelina	0	2016		0		778259758792966144	0	0	[]	Tue Sep 20 15:49:20 +0000 2016	fr	0	1	1	, Brangelina
778259792959791104	0	, 84, 95		Que ce jour devienne un jour de deuil mondial, on l'appellera "le deuil de l'amour" #Brangelina	0	2016		0		778259792959791104	0	0	[]	Tue Sep 20 15:49:28 +0000 2016	fr	1	1	3	, Brangelina
778259812035493894	0	, 118, 129		Avec tout ce qui se passe dans le monde et les gens trouvent le moyen de parler de futilités comme l'AG de l'ONU. Y a #Brangelina ptn.	0	2016		0		778259812035493894	0	0	[]	Tue Sep 20 15:49:33 +0000 2016	fr	2	1	5	, Brangelina
778259828640739328	0	, 40, 51		Qui va avoir la garde des 200 gosses ?  #brangelina	0	2016		0		778259828640739328	0	0	[]	Tue Sep 20 15:49:37 +0000 2016	fr	17	1	12	, brangelina
778259877261115392	0	, 0, 11		#Brangelina divorce ! qu'est ce que la vie ?	0	2016		0		778259877261115392	0	0	[]	Tue Sep 20 15:49:48 +0000 2016	fr	0	1	0	, Brangelina
778259903471321088	0	, 78, 87, 88, 99		Avec mon refus @BelgianMammoth on sirote de la binouze de derrière les fagots #Nofilter #brangelina	0	2016	, 15, 30	0	, BelgianMammoth	778259903471321088	0	1	[]	Tue Sep 20 15:49:55 +0000 2016	fr	1	2	1	, Nofilter, brangelina
778259907724402688	0	, 38, 49		Jpropose que ce jour devienne férié.  #Brangelina	0	2016		0		778259907724402688	0	0	[]	Tue Sep 20 15:49:56 +0000 2016	fr	51	1	34	, Brangelina
778259917597732864	0	, 76, 87, 89, 97, 101, 112		Ces couples de stars qu'on croyait inséparables... et qui se sont séparés 💔 #Brangelina ,#vanessa et #JohnnyDepp what else???	0	2016		0		778259917597732864	0	0	[]	Tue Sep 20 15:49:58 +0000 2016	fr	1	3	1	, Brangelina, vanessa, JohnnyDepp
778259920886136833	0	, 66, 77		Par contre les tweets sur Jennifer Aniston par rapport au divorce #Brangelina ... 😒	0	2016		0		778259920886136833	0	0	[]	Tue Sep 20 15:49:59 +0000 2016	fr	0	1	0	, Brangelina
778259965597351936	0	, 36, 47		2016 a pas été assez nul, faut que  #Brangelina divorce..	0	2016		0		778259965597351936	0	0	[]	Tue Sep 20 15:50:09 +0000 2016	fr	1	1	1	, Brangelina
778259990217887745	0	, 36, 47		"Ça y est il l'a quitté sa pute ?"  #Brangelina https://t.co/8gbuZapD97	0	2016		1		778259990217887745	1	0	['photo']	Tue Sep 20 15:50:15 +0000 2016	fr	1	1	6	, Brangelina
778259991434330114	0	, 12, 23		NON NON NON #brangelina	0	2016		0		778259991434330114	0	0	[]	Tue Sep 20 15:50:15 +0000 2016	fr	0	1	1	, brangelina
778260069121163265	0	, 128, 139		Préparez-vous a lire ces titres : "Pauvre Angelina !! Comment va t-elle faire avec tous ces enfants et sans homme a ses coté ?" #Brangelina	0	2016		0		778260069121163265	0	0	[]	Tue Sep 20 15:50:34 +0000 2016	fr	0	1	1	, Brangelina
778260070022975489	0	, 104, 115		Ca faisait un bout de temps qu'il y'avait des photos de Brad Pitt tout seul sans Angie et les enfants ! #Brangelina	0	2016		0		778260070022975489	0	0	[]	Tue Sep 20 15:50:34 +0000 2016	fr	0	1	0	, Brangelina
778260095251705856	0	, 28, 39, 40, 52		Y'en a une qui doit rigoler #BrAngelina #TEAMJENIFER	0	2016		0		778260095251705856	0	0	[]	Tue Sep 20 15:50:40 +0000 2016	fr	1	2	4	, BrAngelina, TEAMJENIFER
