index	nb_user_mentions	nb_extended_entities	nb_hashtags	geo	text_hashtags	annee	delimit_mention	lang	id_str	text_mention	retweet_count	favorite_count	type_extended_entities	text	nb_user_photos	nb_urls	nb_symbols	created_at	delimit_hash
777237657801912321	0	0	2		, Sondage, Macron	2016		fr	777237657801912321		1	1	[]	#Sondage: #Macron meilleur candidat pour représenter la gauche en 2017 - La Libre.be https://t.co/2naoTqaS3g	0	1	0	Sat Sep 17 20:07:52 +0000 2016	, 0, 8, 10, 17
777238322334892034	1	0	1		, Macron	2016	, 0, 7	fr	777238322334892034	, Aarwam	1	0	[]	"@Aarwam Vs savez pourquoi #Macron va à Londres chercher les fonds pour sa campagne,,,
Parce qu'on lui a dit que là bas on roule à gauche"	0	0	0	Sat Sep 17 20:10:31 +0000 2016	, 26, 33
777239592353271808	0	0	3		, Macron, Hamon, Montebourg	2016		fr	777239592353271808		1	0	[]	"#Macron #Hamon #Montebourg des pieds nickelés...Mais des pieds jaloux..
Allez Hollande...Nique les ces pieds...."	0	0	0	Sat Sep 17 20:15:33 +0000 2016	, 0, 7, 8, 14, 15, 26
777239987695779840	1	0	2		, Macron, Gauche	2016	, 0, 14	fr	777239987695779840	, Nitro_Politic	0	0	[]	@Nitro_Politic Que la droite vote #Macron OK mais la #Gauche ? Ils sont devenus fous !	0	0	0	Sat Sep 17 20:17:08 +0000 2016	, 34, 41, 53, 60
777240904121872384	0	0	5		, Odoxa, Macron, Valls, Montebourg, Taubira	2016		fr	777240904121872384		7	2	[]	"#2017
Dans un sondage #Odoxa
Hollande à 8% derrière #Macron 28% Melenchon 18% #Valls 17% #Montebourg 13% et #Taubira à 9% ça c'est du score"	0	0	0	Sat Sep 17 20:20:46 +0000 2016	, 22, 28, 52, 59, 78, 84, 89, 100, 108, 116
777240979036397568	1	0	2		, Hollande, Macron	2016	, 0, 14	fr	777240979036397568	, Nitro_Politic	1	1	[]	@Nitro_Politic Oui on soupçonne une "petite blague" de #Hollande en accord avec #Macron ! Triste !	0	0	0	Sat Sep 17 20:21:04 +0000 2016	, 55, 64, 80, 87
777242978767278080	0	0	1		, Macron	2016		fr	777242978767278080		5	4	[]	Bien vu ...#Macron, "Un rabatteur" https://t.co/tihTv9nfgj	0	1	0	Sat Sep 17 20:29:01 +0000 2016	, 11, 18
777250852390264832	0	0	2		, macron, PNL	2016		fr	777250852390264832		1	0	[]	en fait #macron est à la politique ce que #PNL est au rap français	0	0	0	Sat Sep 17 21:00:18 +0000 2016	, 8, 15, 42, 46
777253037458989056	1	0	2		, Valls, Macron	2016	, 0, 14	fr	777253037458989056	, Limportant_fr	0	0	[]	@Limportant_fr 😳😅Mettons les paroles de côté et trouvons un bon tatami👋👊😂👏 #Valls VS #Macron	0	0	0	Sat Sep 17 21:08:59 +0000 2016	, 75, 81, 85, 92
777272092463075329	0	0	4		, Macron, Presidentielle2017, EnMarche, Politique	2016		fr	777272092463075329		1	0	[]	Emmanuel #Macron meilleur candidat pour représenter la gauche : https://t.co/N21e2t884q #Presidentielle2017 #EnMarche #Politique	0	1	0	Sat Sep 17 22:24:42 +0000 2016	, 9, 16, 88, 107, 108, 117, 118, 128
777290407428362241	0	0	3		, Macron, Presidentielle2017, EnMarche	2016		fr	777290407428362241		0	2	[]	"#Macron meilleur candidat pr représenter la Gauche à la #Presidentielle2017...pr les électeurs de Droite. #EnMarche 
https://t.co/yXg5Kvf9UN"	0	1	0	Sat Sep 17 23:37:29 +0000 2016	, 0, 7, 56, 75, 106, 115
777363330994429952	4	0	2		, Macron, EnMarche	2016	, 65, 76, 77, 90, 91, 102, 103, 114	fr	777363330994429952	, enmarchefr, JeunesMacron, AvecMacron, TeamMacron	0	0	[]	"Jamais un portrait de #Macron n'avait été aussi juste.
#EnMarche @enmarchefr @JeunesMacron @AvecMacron @TeamMacron
https://t.co/Z2d2NmLAd4"	0	1	0	Sun Sep 18 04:27:15 +0000 2016	, 22, 29, 55, 64
777372682623021056	2	0	2		, Macron, Hollande	2016	, 3, 15, 62, 77	fr	777372682623021056	, manuelvalls, EmmanuelMacron	0	0	[]	De @manuelvalls : " il faut cogner #Macron " &lt;= Normal car @EmmanuelMacron le bat, si #Hollande renonce à 2017. CQFD	0	0	0	Sun Sep 18 05:04:25 +0000 2016	, 35, 42, 89, 98
777374104395583488	0	0	6		, DALAILAMA, PAYROLL, US, Macron, YoungLeader, Bilderberg	2016		fr	777374104395583488		0	0	[]	"Et bah, ils font une belle paire tous les deux ..
#DALAILAMA #PAYROLL #US
#Macron #YoungLeader #Bilderberg https://t.co/A5fkGfw2Jj"	0	1	0	Sun Sep 18 05:10:04 +0000 2016	, 50, 60, 61, 69, 70, 73, 74, 81, 82, 94, 95, 106
777381273652367361	1	0	2		, Macron, Hollande	2016	, 0, 8	fr	777381273652367361	, LePoint	0	0	[]	@LePoint On s'en fiche de #Macron ! Il n'a rien fait sauf trahir #Hollande &amp; les français en abandonnant son poste &amp; n'est pas candidat !	0	0	0	Sun Sep 18 05:38:33 +0000 2016	, 26, 33, 65, 74
777387650080772096	1	0	2		, France, Macron	2016	, 118, 133	fr	777387650080772096	, franceinfoplus	0	0	[]	#France : Présidentielle : #Macron meilleur candidat pour représenter la gauche, France 2 https://t.co/DUGln1ho4U via @franceinfoplus	0	1	0	Sun Sep 18 06:03:53 +0000 2016	, 0, 7, 27, 34
777391442696232964	1	0	1		, Macron	2016	, 105, 117	fr	777391442696232964	, LEntreprise	1	1	[]	"Merci #Macron !
les salariés d'Ecopla dénoncent l'inaction du gouvernement..
https://t.co/O9u56YobCg via @Lentreprise"	0	1	0	Sun Sep 18 06:18:57 +0000 2016	, 6, 13
777393429466718208	1	0	2		, Rothschild, Macron	2016	, 124, 139	fr	777393429466718208	, desouchejesuis	2	2	[]	""" #Rothschild ""ça ne vous ennuie pas d'être grand père ?

#Macron pas du tt
Ce qui m'ennuie c d'être marier à 1 grand mère.
@desouchejesuis"	0	0	0	Sun Sep 18 06:26:51 +0000 2016	, 2, 13, 58, 65
777393593669521408	0	0	1		, Macron	2016		fr	777393593669521408		0	0	[]	#Macron 2017: Macron meilleur candidat pour représenter la gauche ..devant  Mélenchon / Valls …F. Hollande dernier   https://t.co/nN08cnw82v	0	1	0	Sun Sep 18 06:27:30 +0000 2016	, 0, 7
777395059234836480	0	0	4		, primairedegauche, macron, Presidentielle2017, ps	2016		fr	777395059234836480		0	0	[]	La #primairedegauche va se jouer à peu de chose. Au #macron près. #Presidentielle2017 #ps	0	0	0	Sun Sep 18 06:33:20 +0000 2016	, 3, 20, 52, 59, 66, 85, 86, 89
