Project,Version,num_downloads,month
mlstatpy,18.1,1,201710
csharpy,14.04,19,201805
pyensae,9,10,201707
mlstatpy,10.14.5,1,201904
pymmails,8,1,201902
pyensae,stretch/sid,1,201606
pysqllike,,237,201704
jyquickhelper,7,21,201806
tkinterquickhelper,5.0,1,201903
pymmails,10.13.6,4,201809
onnxruntime,10.12.5,1,201901
mlstatpy,9,2,201812
pyensae,6.0,1,201809
papierstat,,186,201903
pyquickhelper,,12705,201709
pyquickhelper,stretch/sid,1,201612
pyenbc,,38,201806
skl2onnx,26,1,201905
pyquickhelper,jessie/sid,47,201703
skl2onnx,18.10,4,201903
nimbusml,18.04,2,201902
pyrsslocal,10.14.3,2,201904
jyquickhelper,16.04,405,201811
pyquickhelper,12.04,27,201704
jyquickhelper,26,1,201711
pyquickhelper,20171123,1,201711
jyquickhelper,7,23,201808
pyquickhelper,testing,1,201810
mlstatpy,10.13.6,1,201903
pyrsslocal,16.04,38,201905
csharpyml,18.04,1,201901
pymyinstall,6.0,1,201809
pyquickhelper,10.11.6,3,201811
pyquickhelper,7.2.1511,1,201602
csharpy,,461,201901
pyensae,10.13.6,21,201810
pyquickhelper,24,2,201609
jyquickhelper,10.14,2,201809
pyensae,10.12,1,201708
pyquickhelper,10.9.5,2,201610
pyenbc,14.04,8,201804
jyquickhelper,2018.03,1,201905
jyquickhelper,,703,201710
pyensae,9,1,201906
pysqllike,8,2,201707
jyquickhelper,27,1,201803
pyensae,8.4,3,201609
skl2onnx,3.8.1,4,201905
pyquickhelper,jessie/sid,1,201611
pymyinstall,8,1,201704
pyensae,10.7.5,1,201608
pyquickhelper,,1297,201902
tkinterquickhelper,9,16,201811
mlstatpy,10.14.4,1,201904
pyquickhelper,10.14.3,16,201904
jyquickhelper,9,103,201811
pyensae,10.13.3,2,201809
jyquickhelper,17.10,2,201901
mlinsights,14.04,2,201806
pymyinstall,10.13.3,1,201802
pyquickhelper,8.4,6,201608
mlinsights,6,1,201903
mlstatpy,16.10,1,201611
sparkouille,,81,201809
jyquickhelper,18.08,7,201810
pyrsslocal,,384,201801
mlstatpy,8,5,201707
tkinterquickhelper,17,1,201710
pymyinstall,,1240,201702
jyquickhelper,10.13.5,3,201809
jyquickhelper,10.10.5,2,201710
pymmails,16.04,48,201812
pymyinstall,17.10,2,201804
onnxruntime,18.3,2,201904
mlstatpy,8,4,201811
pyensae,8.5,1,201609
pymmails,10.11.3,1,201611
onnxruntime,10.13.5,2,201902
tkinterquickhelper,19,1,201906
jyquickhelper,10.12.2,4,201702
pymyinstall,9,1,201903
pyenbc,,95,201903
pyquickhelper,10.11.5,9,201606
pymyinstall,18.1,2,201704
pymyinstall,16.04,1,201805
pysqllike,,167,201810
pymyinstall,17.04,2,201709
pyensae,10.10.5,4,201609
jyquickhelper,,757,201905
papierstat,6,1,201903
pyquickhelper,stretch/sid,1,201606
manydataapi,16.04,43,201812
nimbusml,18.10,5,201905
onnxruntime,10.13.6,862,201901
jyquickhelper,10.13.4,2,201903
lightmlrestapi,,48,201805
jyquickhelper,9,4,201711
pysqllike,16.04,2,201710
nimbusml,7,1,201812
pyquickhelper,10.12.3,1,201905
pymmails,10.12.6,1,201810
pyrsslocal,18.04,1,201809
mlinsights,10.14.5,1,201905
tkinterquickhelper,15.8,1,201901
tkinterquickhelper,18.10,5,201902
jyquickhelper,20160505,2,201611
