Date	Sessions
17/10/2013	868
18/10/2013	548
19/10/2013	88
20/10/2013	81
21/10/2013	268
22/10/2013	175
23/10/2013	121
24/10/2013	110
25/10/2013	77
26/10/2013	65
27/10/2013	76
28/10/2013	97
29/10/2013	89
30/10/2013	84
31/10/2013	68
01/11/2013	45
02/11/2013	42
03/11/2013	46
04/11/2013	81
05/11/2013	211
06/11/2013	102
07/11/2013	78
08/11/2013	70
09/11/2013	123
10/11/2013	73
11/11/2013	72
12/11/2013	312
13/11/2013	90
14/11/2013	80
15/11/2013	72
16/11/2013	37
17/11/2013	36
18/11/2013	89
19/11/2013	175
20/11/2013	72
21/11/2013	136
22/11/2013	82
23/11/2013	33
24/11/2013	61
25/11/2013	99
26/11/2013	209
27/11/2013	88
28/11/2013	90
29/11/2013	72
30/11/2013	54
01/12/2013	60
02/12/2013	89
03/12/2013	338
04/12/2013	93
05/12/2013	88
06/12/2013	66
07/12/2013	54
08/12/2013	51
09/12/2013	97
10/12/2013	245
11/12/2013	113
12/12/2013	135
13/12/2013	129
14/12/2013	89
15/12/2013	108
16/12/2013	237
17/12/2013	409
18/12/2013	133
19/12/2013	93
20/12/2013	57
21/12/2013	37
22/12/2013	32
23/12/2013	67
24/12/2013	45
25/12/2013	37
26/12/2013	60
27/12/2013	49
28/12/2013	46
29/12/2013	57
30/12/2013	86
31/12/2013	50
01/01/2014	49
02/01/2014	106
03/01/2014	84
04/01/2014	41
05/01/2014	57
06/01/2014	127
07/01/2014	101
08/01/2014	118
09/01/2014	108
10/01/2014	99
11/01/2014	68
12/01/2014	48
13/01/2014	117
14/01/2014	82
15/01/2014	120
16/01/2014	115
17/01/2014	109
18/01/2014	61
19/01/2014	59
20/01/2014	102
21/01/2014	112
22/01/2014	112
23/01/2014	139
24/01/2014	129
25/01/2014	58
26/01/2014	62
27/01/2014	121
28/01/2014	132
29/01/2014	111
30/01/2014	124
31/01/2014	128
01/02/2014	80
02/02/2014	79
03/02/2014	135
04/02/2014	142
05/02/2014	105
06/02/2014	124
07/02/2014	113
08/02/2014	60
09/02/2014	56
10/02/2014	112
11/02/2014	140
12/02/2014	102
13/02/2014	108
14/02/2014	124
15/02/2014	57
16/02/2014	69
17/02/2014	111
18/02/2014	106
19/02/2014	132
20/02/2014	94
21/02/2014	107
22/02/2014	65
23/02/2014	66
24/02/2014	127
25/02/2014	139
26/02/2014	235
27/02/2014	127
28/02/2014	118
